Publication Type,Authors,Book Authors,Book Editors,Author Full Names,Book Author Full Names,Article Title,Source Title,Book Series Title,Abstract,Publication Year,Volume,Issue,Start Page,End Page
B,"Snyder, J; Cash, RE; Valley-Gray, S; Cunningham, K",,"Kaufman, J; Hughes, TL; Riccio, CA","Snyder, Julie; Cash, Ralph E.; Valley-Gray, Sarah; Cunningham, Kristen",,Continuing education Fostering lifelong learning,"HANDBOOK OF EDUCATION, TRAINING, AND SUPERVISION OF SCHOOL PSYCHOLOGISTS IN SCHOOL AND COMMUNITY, VOL II: BRIDGING THE TRAINING AND PRACTICE GAP: BUILDING COLLABORATIVE UNIVERSITY/FIELD PRACTICES",,,2010,,,245,261
C,"Dimitrova, S; Petrova, E",,,"Dimitrova, Sevdalina; Petrova, Elitsa",,EUROPEAN CITIZENS THROUGH LIFELONG LEARNING,"17TH INTERNATIONAL CONFERENCE THE KNOWLEDGE-BASED ORGANIZATION, CONFERENCE PROCEEDINGS 2: ECONOMIC, SOCIAL AND ADMINISTRATIVE APPROACHES TO THE KNOWLEDGE-BASED ORGANIZATION",Knowledge Based Organization International Conference,"The paper examines the European Platform Lifelong Learning, presents opportunities for individual programs of the Lifelong Learning (2007-2013) and binds the Memorandum of Continuing Education of the European Commission for Education with the results achieved in Bulgaria in this area. It still presents the European dimension of the theme Lifelong Learning, access to lifelong learning in Bulgaria, as well as theBulgarian National Strategy for Lifelong Learning for the period 2008 - 2013 year. It justifies the need for continuity in education.",2011,2,,416,421
C,"Canter, M; Brumar, CI",,"Yalin, HI; Adiloglu, F; Boz, H; Karatas, S; Ozdamli, F","Canter, Maria; Brumar, Cristina I.",,Transdisciplinary niches fostering Lifelong Learning,WORLD CONFERENCE ON EDUCATIONAL TECHNOLOGY RESEARCHES-2011,Procedia Social and Behavioral Sciences,"The purpose of this paper is to outline a new approach of lifelong learning in the light of transdisciplinarity niches. Considering the issues education is currently confronting, a way to find solutions to these problems could be transdisciplinary research, consisting in transdisciplinary niches. The paper continues some previous research made in Lucian Blaga University of Sibiu in order to adapt engineering education to lifelong learning. It also provides two examples of transdiciplinary niches presented in two doctoral theses, which are now developed by EU 2020 research cluster in the aforesaid university. Both theses require a transdisciplinary approach and involve fields from engineering to education psychology, dealing with problems concerning education and lifelong learning. Transdisciplinary niches create an enriched research environment and can solve a part of the problems of today's education. Even if transdisciplinary research is more complex and time consuming, it is more suitable because it provides real solutions. It fosters lifelong learning through emphasis on teamwork; it creates new stimulating ideas, develops concepts and tools in order to solve real world issues.",2011,28,,,
J,"Tight, M",,,"Tight, M",,Lifelong learning: Opportunity or compulsion?,BRITISH JOURNAL OF EDUCATIONAL STUDIES,,"Lifelong learning is presented as a means for enabling individuals, organisations and nations to meet the challenges of an increasingly competitive world. It suggests an extension of opportunity, involving an adults, whatever their interests or experience. There is also, however, a strong sense of expectation, even compulsion, with emphasis given to vocational forms of study and participation.",1998,46,3,251,263
J,"Balci, MC; Yildiz, A",,,"Balci, Memnune Cansu; Yildiz, Ahmet",,From Lifelong Education to Lifelong Learning: Faure and Delors Reports,PAMUKKALE UNIVERSITESI EGITIM FAKULTESI DERGISI-PAMUKKALE UNIVERSITY JOURNAL OF EDUCATION,,"The aim of this research is to examine the transformation of lifelong learning discourse by considering the Faure and Delors Reports prepared by UNESCO, which represent two different trends in adult education periodically, in the socio-political context in which they emerged. In this context, the socio-political backgrounds, formation processes and contents of the periods in which the said reports were created were analysed in depth, and the effects of the reports on lifelong learning and the main criticisms of these reports were examined. These reports, which reflect the transformation of the concept from lifelong education to lifelong learning, are among the important studies that are considered as turning points in the field. This research is a descriptive study designed in the general survey model, which is one of the survey models. The reports in question are of importance beyond an ordinary report analysis due to the historical characteristics of the periods in which they emerged. For this reason, the synthesis of historical research and document analysis methods, as well as the scanning model, was used in the research. As a result of the research, it has been determined that the humanist and democratic content of the concept of lifelong education, which existed in the 1970s, gained an instrumental dimension in the 1990s to train the workforce needed by global capital. In this context, it is seen that the discourse of lifelong education, which is a public right, has evolved into the discourse of lifelong learning, which is shaped according to the demands of the market.",2022,,56,149,+
J,"Allmendinger, J; Kleinert, C; Antoni, M; Christoph, B; Drasch, K; Janik, F; Leuze, K; Matthes, B; Pollak, R; Ruland, M",,,"Allmendinger, Jutta; Kleinert, Corinna; Antoni, Manfred; Christoph, Bernhard; Drasch, Katrin; Janik, Florian; Leuze, Kathrin; Matthes, Britta; Pollak, Reinhard; Ruland, Michael",,Adult education and lifelong learning,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,,"Stage 8 of the German National Educational Panel Study focuses on the adult working age population in Germany and serves, in many respects, as a capstone for the National Educational Panel Study structure. Its main purpose is to collect data on adult education, on competence endowment and its development over the life course, and on returns to initial and adult education in a life-course perspective. The data includes a large number of theoretically informed determinants of adult education and competencies as well as information on how labor market and non-labor market outcomes are influenced by previous educational participation and competencies. With detailed information on learning environments at the workplace and in the household it will be possible to contextualize these determinants. The data allows immediate analyses of the adult population as well as the delivery of long-term perspectives on educational, occupational, and private life courses across various educational stages.",2011,14,,283,299
B,"Aspin, DN; Chapman, JD",,"Aspin, DN","Aspin, David N.; Chapman, Judith D.",,Lifelong Learning: Concepts and Conceptions,PHILOSOPHICAL PERSPECTIVES ON LIFELONG LEARNING,Lifelong Learning Book Series,,2007,11,,19,38
C,"Kalna, S; Hlouskova, T; Haskova, B",,"Chova, LG; Martinez, AL; Torres, IC","Kalna, S.; Hlouskova, T.; Haskova, B.",,LIFELONG LEARNING WITHOUT BORDERS,EDULEARN19: 11TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES,EDULEARN Proceedings,"Masaryk University places great emphasis on supporting and developing lifelong learning for all professional and age groups. It is aware of the importance of further development of lifelong learning. Therefore, it wants to focus on gaining foreign experience in preparation, stepwise ensurement, and final implementation of lifelong learning programs. That is why a project called,Lifelong Learning without Borders was created in 2018. Masaryk University's partner in this program is the Danube University in Krems, Austria, which focuses on adult education. The aim of the project is long-term cooperation, transfer of experience, joint implementation of activities, and simultaneous involvement of both countries' participants in educational activities. At the beginning of the project, two meetings of partners, executives at various levels of management, and organizational staff dealing with lifelong learning issues took place at the University of Krems. The Czech Center in Austria is also participating in the project helping to promote project activities in both countries. The advantage of the involvement of the Czech Center is its knowledge of the environment of both countries and rich experience in promoting activities. Demonstrations of planned activities will take place in both countries as part of the project promotion. Specifically, lectures in the field of astronomy, which are intended for those interested in further education will be presented. Following there will be a joint four-day interactive bilingual course entitled,Universe without Borders. The course topic was prepared based on a survey. The course will take place in Telc in the Czech Republic. It is intended for Austrian and Czech citizens interested in further education. The new course will serve as a template for the creation of other courses. Both project partners are involved in its preparation. Before the end of the project, the project partners will meet in Brno, the Czech Republic, where all project activities will be evaluated. The expected outcome of the project is to share the offer of activities implemented within the framework of lifelong learning programs.",2019,,,6941,6946
C,"Sivevska, D; Pesova, B; Popeska, B",,"Sandu, A; Frunza, A; Ciulei, T; Gorghiu, G; Petrovici, A","Sivevska, D.; Pesova, B.; Popeska, B.",,Students' Attitudes toward Lifelong Learning,RETHINKING SOCIAL ACTION. CORE VALUES,,"The modern man lives in modern times with rapid science and technology progress. Today we live in a modern society where that kind of progress contributes to faster obsolescence of previous knowledge and increasing quantity of new knowledge. That indicates a need for constant learning which will help every individual in every moment to achieve different and useful knowledge. This can be achieved by life-long education which will improve quality of living every individual, allowing development and progress in every stadium of life and in every life situation. Thus, in this research, we wanted to find out what were the general students' attitudes toward lifelong learning and education and whether there is a difference of opinion depending on gender, year of study, academic success of students, as well as the education of their parents.",2015,,,1215,1219
J,"McAdams, CD; McNally, MM",,,"McAdams, Callie D.; McNally, Michael M.",,Continuing Medical Education and Lifelong Learning,SURGICAL CLINICS OF NORTH AMERICA,,"In the rapidly changing world of health care, providers are encouraged and often required to keep up to date with education to deliver excellent patient care. During residency, acquisition of skills and education is highly structured, which guides learners to ultimately become competent surgeons.1 After residency, learning is more nebulous, requiring learners to navigate the process of keeping competence while",2021,101,4,703,715
C,"Laal, M",,"Uzunboylu, H; Ozdamli, F","Laal, Marjan",,Lifelong Learning and technology,2ND WORLD CONFERENCE ON EDUCATIONAL TECHNOLOGY RESEARCH,Procedia Social and Behavioral Sciences,"Today, interaction of technology can be seen in almost every aspect of our daily life. Scientific research on how people perceive, respond to, and interact with artificial agents is needed as these technologies can impact our lives from entertainment to education and healthcare. Society is now becoming more dependent on technologies. New opportunities and ways to integrate technology into the learning process are being created every day. This review article seeks to shed light on the interaction of the rapidly changing world of information and technologies to the learning and education. (C) 2013 The Authors. Published by Elsevier Ltd.",2013,83,,980,984
B,"Levin, JS","Levin, JS",,"Levin, John S.","Levin, JS",Continuing Education and Lifelong Learning,NONTRADITIONAL STUDENTS AND COMMUNITY COLLEGES: THE CONFLICT OF JUSTICE AND NEOLIBERALISM,,,2007,,,163,184
J,[Anonymous],,,[Anonymous],,Online education for lifelong learning,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,,,2007,38,5,950,951
B,"Leong Man Wai, A",,"Bray, M; Koo, R","Leong Man Wai, Aliana",,Lifelong Learning and Adult Education,"EDUCATION AND SOCIETY IN HONG KONG AND MACAO: COMPARATIVE PERSPECTIVES ON CONTINUITY AND CHANGE, SECOND EDITION",CERC Studies in Comparative Education,,2005,7,,87,96
B,"Trudel, P; Culver, D; Richard, JP",,"Nelson, L; Groom, R; Potrac, P","Trudel, Pierre; Culver, Diane; Richard, Jean-Paul",,PETER JARVIS Lifelong coach learning,LEARNING IN SPORTS COACHING: THEORY AND APPLICATION,,,2016,,,202,214
B,"Bagnall, RG",,"Aspin, DN","Bagnall, Richard G.",,Good Practice in Lifelong Learning,PHILOSOPHICAL PERSPECTIVES ON LIFELONG LEARNING,Lifelong Learning Book Series,,2007,11,,237,257
B,"Su, YH",,"Dredge, D; Airey, D; Gross, MJ","Su, Yahui",,Lifelong learning in tourism education,ROUTLEDGE HANDBOOK OF TOURISM AND HOSPITALITY EDUCATION,,,2015,,,322,334
B,"Sava, S; Lustrea, A",,"Koulaouzides, GA; Popovic, K","Sava, Simona; Lustrea, Anca",,PARTICIPATION RATES IN LIFELONG LEARNING,ADULT EDUCATION AND LIFELONG LEARNING IN SOUTHEASTERN EUROPE: A CRITICAL VIEW OF POLICY AND PRACTICE,International Issues in Adult Education,,2017,24,,101,114
C,"Mazouch, P; Suchankova, P",,"Kvasnicka, R","Mazouch, Petr; Suchankova, Petra",,ANALYSIS OF COMPULSORY EDUCATION IN LIFELONG LEARNING,EFFICIENCY AND RESPONSIBILITY IN EDUCATION 2013,,"The Aim of the contribution is to analyse one part of the lifelong learning, which is compulsory. After finishing formal education, people on labour market are forced to extend their education. The paper analyses types of the education in details, discusses motives why they must educate, structure of educated population by sex, age and the highest level of education. As the basic data source we use the data and results from the Adult Education Survey, which was regularly realised for the first time in Czech Republic in 2011. As main outcomes we consider findings that about 12 per cent of adults are educated compulsorily. Furthermore, their structure is significantly different from the structure of population which join the lifelong learning in general.",2013,,,420,426
C,"Carachova, M",,"Chova, LG; Martinez, AL; Torres, IC","Carachova, Magdalena",,SELECTED ASPECTS OF LIFELONG LEARNING,9TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES (EDULEARN17),EDULEARN Proceedings,"Currently the idea of lifelong learning resonates in every area of daily life. The aim of this paper is to highlight selected options of lifelong learning and its importance. Lifelong learning represents learning for personal, civic, social and professional purposes of the citizens. It consists of formal education that takes place in educational institutions, non-formal education that takes place in educational institutions outside the national education system and informal learning that takes place as a lifelong process of acquiring knowledge, skills and attitudes in everyday life without organizational interventions. Lifelong learning is the result of an increase in the need for investment in people and knowledge, it promotes the acquisition of basic skills, including digital literacy and increased opportunities for innovation. The current labour market puts very high requirements on a person, so it is necessary that throughout life he develops his knowledge, skills and abilities, and thus is able to adapt to new economic and social conditions. Lifelong learning involves educating citizens in pre-productive age, the basis of which is formed by education in the school system in schools and school facilities. Basic education followed by initial vocational education should provide young people with new skills that are needed in terms of the knowledge society. Lifelong learning also includes education in productive age, usually professional training, including education during unemployment and education in the post-productive age of life. The permeability of these relatively independent subsystems of lifelong learning enables citizens to start and finish learning at all ages of life, to choose the type and area of study and return to studying. The requirement of the current era is quick utilization of acquired knowledge and skills in career. Therefore, the emphasis is placed on the close link of the preparation of the training programs to employer companies in which the practical part of the training is conducted. Information society with the rapid development of new technologies, with a huge amount of information and information resources requires people who are going to be ready for such information environment - they will be competent and literate, they will have the knowledge and skills necessary for the 21st century. The new role of the school and its teachers for this time is to help students acquire and develop skills that will enable them to safely and effectively use the best technology options and enable them to fully integrate into the life of society. In the context of information literacy computer literacy is often mentioned as well, which we can consider the ability to use a computer. Computer literacy is actually a part of information literacy because working with new technologies and, of course, a computer is its essential part. This fact is also recognised by seniors, who are very interested in studying at the university of the third age in the field of computer and information society, where the author of the paper has led the teaching process for several years already",2017,,,1197,1204
C,"Gasparik, AC; Veress, EE",,"Vasile, C","Gasparik, Attila-Csaba; Veress, Elza-Emoke",,Educating Spectators: A Lifelong Learning Program,ADULT EDUCATION IN UNIVERSITIES: LOCAL AND REGIONAL PERSPECTIVES,Procedia Social and Behavioral Sciences,This paper aims to show the possibilities of inserting art education in lifelong learning programs. We are not only concerned with the content of learning but with other major elements of curriculum development. Besides our theoretical approach we would like to show the way art education could find its place in adult learning programs organized by higher education institutions. (C) 2014 Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licences/by-nc-nd/3.0/).,2014,142,,370,375
C,"Depesova, J; Turekova, I; Banesz, G",,,"Depesova, Jana; Turekova, Ivana; Banesz, Gabriel",,Lifelong learning in the professional practice,PROCEEDINGS OF 2015 INTERNATIONAL CONFERENCE ON INTERACTIVE COLLABORATIVE LEARNING (ICL),,"Education of employees is an ongoing process in which adaptation and changes in working behavior, level of knowledge, skills and employee motivation occur through the use of diferent strategies, styles and methods. The result is a reduction in the differences between the current competencies of employees and the requirements imposed on them by employers, respectively between the requirements of the labor market and their competitiveness. The process of learning in the professional practice involves identification of educational requirements, learning objectives, education planning, selection of appropriate educational institution, the very implementation of education, and evaluation of the educational effectiveness of staff and organization. On the basis of theoretical assumptions we have conducted a study aimed to analyze the lifelong learning on a representative sample of organizations in professional technical practice in Slovakia in relation to the recommendations of the European Union and the Government of Slovak Republic. The research was aimed to determine how, at what level, and by what means Slovak universities participate in lifelong learning in manufacturing organizations. In the research we focused on the relationship of production organizations and employees to further education and self-education in the phase of their career development and career promotion.",2015,,,886,894
J,"Pastuovic, N",,,"Pastuovic, Nikola",,LIFELONG LEARNING AND THE CHANGES IN SCHOOLING,ODGOJNE ZNANOSTI-EDUCATIONAL SCIENCES,,"This paper describes the concept of of long learning and its development through the second half of the twentieth century The meanings are given of other related concepts, such as continuing education, permanent education and recurrent education. Specific forms of lifelong learning, through which the concept of lifelong learning is realised, are presented separately. These are: formal education, non-formal education, informal education and experiential learning. The paper shows the main conceptual implications of lifelong learning on the change in understanding of education as schooling and the traditional understanding of education as something intended only for children and young people. Finally, the paper indicates the quantitative and qualitative changes in primary and secondary schooling that have the function of realising the concept of lifelong learning.",2008,10,2,253,267
J,"Hammond, K",,,"Hammond, Keith",,LIFELONG LEARNING IN PALESTINE,HOLY LAND STUDIES,,Palestine's universities are recognised as being involved in outstanding work in the difficult conditions of a belligerent occupation. Internal travel restrictions and over 600 checkpoints and barriers have unsuccessfully tried to atomise higher education. Lifelong Learning in Palestine (LLIP) is a Tempus project that sees universities as central influences in broader societal change. LLIP works on cooperating in formal and informal education and training that give the organic connections of a future learning society. This paper outlines the aims and objectives of the LLIP project that began in 2011 and runs up to October 2013. LLIP is exploring new student-centred pedagogies that create a learning culture that sees Palestinians determining their own future as any other people around the world and participating in the creation of a global knowledge based society.,2012,11,1,79,85
C,"Jarcau, M",,"Vasile, C","Jarcau, Mihaela",,Intercultural education important component of lifelong learning,ADULT EDUCATION IN UNIVERSITIES: LOCAL AND REGIONAL PERSPECTIVES,Procedia Social and Behavioral Sciences,"Adult education is a response to modern society and which continues to move, keeping as a goal, the adult education in areas of interest such as foreign languages, ICT, parental education, and so on; the adults are the heart of the education process and it helps them to identify their place in society and become better and able to adapt to the requirements of this world. This paper presents a Grundtvig partnership project aimed to improve the adults' quality of life through transnational cooperation, by engaging them in artistic and literary activities, promoting knowledge and understanding of different European social and economic cultures. (C) 2014 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licences/by-nc-nd/3.0/).",2014,142,,421,426
C,"Neimane, I",,"Chova, LG; Martinez, AL; Torres, IC","Neimane, I",,STANDARDS AND THE REALITY IN LIFELONG LEARNING,"10TH INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION (ICERI2017)",ICERI Proceedings,"Nowadays we often have to change not only the job, but also the profession, improve our knowledge and competences. So, it is necessary to provide the lifelong learning opportunities for any human. Adult education is one of the lifelong learning stages. According to the definitions used in the European Union people over the age of 25 are participating in adult education. Adult education is a person varied educational process which provides a lifelong personal development and competitiveness in the labor market. In the Latvian and EU policy planning documents determine Latvian Adult Education Policy defined educational development goal by 2020: qualitative and inclusive education for personal development, human well-being and sustainable national development. Nowadays extendable qualitative education offer using existing infrastructure facilities. One of the strategic priorities of vocational education is adult education opportunities. Each ministry has accumulated experience in adult education administration and management. Common experiences include : support system out of formal education is acquired or assessment and recognition of acquired study results obtained in professional experience; recommendations for adult educators in determination of competences; recommendations in qualifying criteria selection for the public tenders in the non-formal education. When looking for answers to the question of what effective adult education is, the three most frequently mentioned answers are: acquisition of a program creates the opportunities for personal development; acquisition of a program creates the opportunities for career growth; short program with immediately applicable knowledge and skills. The aim of research paper is attention to the answer - what is the reality in lifelong learning? For supporting the topicality of the problem the survey data of further education course participants are summarized over a longer period of time. For analysis of the research data the following methods are employed: descriptive statistics (questionnaire) and content analysis. Since universities have the task to make interest of people in various study courses, then in the field of lifelong learning they are faced with different requirements in non-formal education, nominated by the relevant ministries. As the result of research there will be analyzed good practice examples in the work of adult education organizers at the levels of ministries and universities lifelong learning. There will be developed recommendations for university organizers of adult vocational education and training, which would help to meet the requirements set by the European Union and Latvia in the planning documents Europe 2020 in relation to adult education.",2017,,,2684,2690
J,"Coelli, M; Tabasso, D",,,"Coelli, Michael; Tabasso, Domenico",,Where are the returns to lifelong learning?,EMPIRICAL ECONOMICS,,"Participation in formal education during adulthood (ages 25-54) is a key part of lifelong learning. Employing unique longitudinal data for Australia, we highlight the prevalence of such study, the varied reasons for undertaking it (consumption, career development, job and home disruption), and investigate whether it is socially valuable. Our more detailed estimates of the labour market return to adult education (wage rates, employment, hours of work and occupational status) confirm previous studies that generally found such returns to be small and isolated. We contribute to this literature by also estimating the effect of adult education on job satisfaction and satisfaction with employment opportunities. Increases in satisfaction help rationalise the education enrolment decisions of these adults.",2019,57,1,205,237
B,"Downes, S",,"Jeschke, S; Isenhardt, I; Hees, F; Trantow, S","Downes, Stephen",,"Innovation, Continuing Education and Lifelong Learning",ENABLING INNOVATION: INNOVATIVE CAPABILITY - GERMAN AND INTERNATIONAL VIEWS,,,2011,,,81,83
C,"Selby, R",,"Kekelakova, A","Selby, Richard",,LIFELONG LEARNING - TEACHING ADULTS,EFFICIENCY AND RESPONSIBILITY IN EDUCATION 2007,,"This paper reviews the way in which people learn through life, and focuses on the needs of adult learners. Comparisons are drawn between the different methods of educating and training adults, including the advantages and disadvantages of various forms of distance learning.",2007,,,181,187
J,"Adkinson, JM; Chung, KC",,,"Adkinson, Joshua M.; Chung, Kevin C.",,Lifelong Learning for the Hand Surgeon,JOURNAL OF HAND SURGERY-AMERICAN VOLUME,,"Hand surgeons are faced with the impossible task of mastering a rapidly expanding pool of knowledge and surgical techniques. Dedication to lifelong learning is, therefore, an essential component of delivering the best, most up-to-date care for patients. Board certification, participation in continuing medical education and maintenance of certification activities, and attendance at national meetings are essential mechanisms by which hand surgeons may foster the acquisition of essential knowledge and clinical skills, This article highlights the history, current status, and emerging needs in continuing medical education for the hand surgeon. Copyright (C) 2015 by the American Society for Surgery of the Hand. All rights reserved.",2015,40,9,1915,1918
